Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
20-Nov-2017			Science and Engineering	StaffNet Learning and Development page	MATLAB, Fortran, Python	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	give some more details on the jobscript syntax 	jobscript syntax			4
20-Nov-2017			Biology, Medicine and Health	StaffNet Learning and Development page	R, Stata	Git	None	Introduction to HPC (using CSF and DPSF)	I enjoyed the course and have no suggestions	I will spend more time learning about job arrays after the course.	None		5
20-Nov-2017			Science and Engineering	researchit website	MATLAB, Fortran, C/C++, Python, Bash	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Defensive programming	Introduction to HPC (using CSF and DPSF)	starting with Linux commands probably not necessary	Using variables in job arrays 	More detail on parallel programming - writing mpi code	It would be good to have more time to go into more detail (2 day course?)	4
20-Nov-2017			Biology, Medicine and Health	Word of mouth	MATLAB	None	None	Introduction to HPC (using CSF and DPSF)	Spent a bit less time on the basics and more on the slightly more advanced concepts	Job arrays			5
20-Nov-2017			Science and Engineering	StaffNet Learning and Development page	Bash	None	None	Introduction to HPC (using CSF and DPSF)	nothing	serial job submission	maybe I missed that, but who shall I contact when I want other software added to the CSF - what are the limitations for adding a new software etc		4
20-Nov-2017			Biology, Medicine and Health	Supervisor	MATLAB, Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	I would have liked a bit more on bash scripting	Nothing, all good	As above, a bit more on bash scripting	Really enjoyed it, great to have access to this resource	4
28-Nov-2017			Humanities	StaffNet Learning and Development page	None	Git	None	Data analysis using R	n/a	more data visualisation			4
28-Nov-2017			Biology, Medicine and Health	Word of mouth	C/C++, Python, R	None	None	Data analysis using R	Course went at fast pace, but it was good to cover a lot of topics	Factors			4
28-Nov-2017			Science and Engineering	StaffNet Learning and Development page	MATLAB	None	None	Data analysis using R	na	na			5
28-Nov-2017			Science and Engineering	StaffNet Learning and Development page	None	None	None	Data analysis using R	less challenges	analysing external data			4
28-Nov-2017			Biology, Medicine and Health	Supervisor	Python, R	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	I do not have to suggest something.. It contains everything that should be included	Functions	More about the combination of R with other programs		4
28-Nov-2017			Biology, Medicine and Health	A University email list	R	Git	Comments	Data analysis using R	more advanced 	packages			4
28-Nov-2017			Biology, Medicine and Health	A University email list	None	None	None	Data analysis using R	Reduce the number of breaks.	graphing your data	Statistical analyses	This course gave a basic introduction into R and how to use R for data analysis. I felt like the presentation was rather rushed. It might be helpful to reduce the number of breaks and rather go slower. It might also be helpful to split the audience into absolute beginners (no experience) and beginners (basic knowledge of R but no coding experience). 	4
28-Nov-2017			Science and Engineering	Supervisor	MATLAB, Mathematica	Git	Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Data analysis using R	it was quite effective as it is	nothing	maybe a bit more of commands or functions	no	5
28-Nov-2017			Biology, Medicine and Health	eProg training catalog	MATLAB	None	Comments	Data analysis using R	No suggestions, he did a great job	More details on plotting with ggplot	None	An additional full day only on plotting and an additional full day on statistics in R	5
28-Nov-2017			PSS	Research IT newsletter (researchitnews.org)	None	None	None	Data analysis using R	slower timing over the matrix section	Going over Matrices			5
28-Nov-2017			Biology, Medicine and Health	training catalogue	None	None	None	Data analysis using R	The room and the group were too large so it was impossible to see the screen or hear the instructions.  Once I was lost it was pretty hard to catch up.	Making graphs	How to get my own data into R.  Alternatives to R?	The class relied heavily on accurately copying down code or the programme would bring errors.  I am dyslexic, and usually manage reasonably well with literacy and note taking however it turns out this is specifically quite difficult for dyslexics.	1
28-Nov-2017			Humanities	Word of mouth	R	Git	None	Data analysis using R	The class was too large and we couldn't really follow at the back.	Creating the graphs			4
28-Nov-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, Fortran, Python	Git, FCM (Met Office version of svn)	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	Can't think of anything obvious. The colour coded post it notes worked well as a means of identifying when people had finished the practicals, and when help was needed	Bit more time for RMarkDown would have been nice	Maybe how to read in other popular data formats rather than just csv, e.g. netcdf		4
28-Nov-2017			Science and Engineering	A University email list	MATLAB, Fortran, C/C++, Python	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Data analysis using R	More focus on the R-notebook.	R-notebooks.			5
28-Nov-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	none	none			4
28-Nov-2017			Science and Engineering	StaffNet Learning and Development page	R	None	None	Data analysis using R	Notebook looks brilliant and useful - perhaps it should have it's own half day course?	Notebook!		Very good	4
28-Nov-2017			Biology, Medicine and Health	Word of mouth	R	None	Comments	Data analysis using R	Explain some of the basics in the beginning, e.g. what vectors represent in the context of data analysis; difference between round and square brackets in R, how to comment script to keep track of what you are doing etc. 	Don't know	Actual analysis e.g. running a simple t-test	This was a really useful course and very easy to follow; the demonstrators were very helpful. Thanks very much	4
28-Nov-2017			Biology, Medicine and Health	Word of mouth	Python, R	None	None	Data analysis using R	The course was very good. I have 2 comments: I think it could have been helpful for the students to know how to make notes in the script (using #), this really helps me to remember why something is different in the script. My second comment is that the helpers were a bit loud. It got difficult from time to time to hear the instructor over them. Sometimes even them just talking to each other. 	the mutate function. I think I got it but we wen't through it really quickly and it was difficult to hear due to the helper instructors. 	How to denote statistical significance. This is such a big part of science but is completely forgotten in every graphing software and every course. I'm tired of powerpoint.	Best course I've taken during my 2 years of PhD. Thank you very much! Would have been a clear 5 if it weren't for the noise. 	4
28-Nov-2017			Biology, Medicine and Health	Research IT newsletter (researchitnews.org)	Stata	None	Comments, Code reviews	Data analysis using R	There are quit a lot to cover, maybe prepare the script list (for some core scripts) so the attendants can copy and past, so that save time on typing. 	Graphical function of R		The material is very comprehensive (very good self-learning materials), facilitators are friendly and and approachable. 	4
28-Nov-2017			Biology, Medicine and Health	A University email list	R, Stata	None	None	Data analysis using R	different room	the basic functions			5
28-Nov-2017			Science and Engineering	StaffNet Learning and Development page	None	None	None	Data visualisation and analysis	Send an email with link to the course notes prior to the course to give people a chance to famialarize themselves with the content	I struggled with different bits of it - so hard to say, but that's a problem with my understanding rather than the course	n/a	no	4
29-Nov-2017			Biology, Medicine and Health	A University email list	Stata	None	None	Data analysis using R	Can't think of anything	Markdown - we went over this quite quickly.		It felt like a lot to squeeze into one day, it could have been split over 2 days, even if they were shorter days.	5
29-Nov-2017			Biology, Medicine and Health	Word of mouth	MATLAB	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	It was great as it was	Nothing that I can think of	Would have been happy to carry on to statistical methods and more complex data visualisation, but this wasn't the scope of the course, and wouldn't fit in the time.	Great course, well run at a good speed. I had looked at R myself previously, but very briefly. It was definitely useful to know another programming language though (Matlab). Speed of the course might have been a bit quick if I hadn't.	5
29-Nov-2017			Biology, Medicine and Health	Word of mouth	Stata	Git	None	Data analysis using R	For me, there could have been less time spent on the section about graphs. It was useful, but as an introduction some of the detail could have been left out.	At the end there wasn't much time to digest the info about the Notebook	Maybe just some very basics about some statistical commands	Thanks, this course was really useful!	5
29-Nov-2017			PSS	Word of mouth	Python, Bash	Git	Comments	Data analysis using R	"A microphone would make it easier to hear him. 
Also a desk at a better height for typing and addressing the audience.
Slow down a little, it can be hard to keep up with the typing in my own session.
Slightly shorter better timed breaks."	More info on packages and managing them.	Perhaps too much for this course, but follow on course covering more advanced/programming orientated topics (including parallel R) would be good.	Nope.	5
29-Nov-2017			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python, Bash	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	Maybe speed up the early easy stuff for me, but also that might be detrimental for people new to writing code	In ggplot2, when to specify things in aes() and when to specify them in geom_point/etc.()	Making slideshows in R	Nae!	5
30-Nov-2017			Biology, Medicine and Health	StaffNet Learning and Development page	None, R	None	Comments, Unit testing	Data analysis using R	it could be more interactive and bit louder using mike	every helpful and well organised			4
30-Nov-2017			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, Fortran, C/C++	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Code reviews	Data analysis using R	none	none			4
5-Dec-2017			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, C/C++	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Code reviews	Data analysis using R	Markdown (Combining your code with text)	 Manipulating tibbles with dplyr			5
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	Less rushed	graphics			4
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	Dedicate more time to the last part about making different types of graphs	Graphs			4
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	It was very good	Graphs	More advanced information about graphs (e.g. PCA)	Maybe allow more time for the course.	4
5-Dec-2017			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	Data analysis using R	"1) More time.
2) Clearer instructions for the challenges (it was difficult to interpret exactly what was being asked of us)"	graphs	Analysis (regression modelling)	NO	4
5-Dec-2017			PSS	StaffNet Learning and Development page	VBA	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	Speak a bit slower	Tests for checking whether data is correct	More advanced staff on graphics: maps, plots, regression		4
5-Dec-2017			Biology, Medicine and Health	Supervisor	Stata, SQL	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	n/a	n/a			4
5-Dec-2017			Science and Engineering	StaffNet Learning and Development page	Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	make a course to be 2 days long	R project	functions		5
5-Dec-2017			Biology, Medicine and Health	Word of mouth	R	Git	None	Data analysis using R	reduce the content by 20%	validating the data types	good sources of support	good course but not for total beginners	4
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	More information on the basic functions, ie when to use c, %>% and %in%	Mutating data	Just more time focused on graphs	Take out the 'R as calculator points'- not necessary	4
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	better timing to be able to finish the course	Graphs, ran out of time			4
5-Dec-2017			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	Data analysis using R	It could be slower and more time on making graphs	graph design			4
5-Dec-2017			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	Data analysis using R	It was very rushed. Lots of people talking when he was speaking. 	all of it! paper handouts would help.	more basic statistics	very hard to find room! very nice instructor, course needs to be longer or less material.	4
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	Give some exercises - answers to work at home	NA	combine data from different files	Sometimes it felt that its rushing too quickly.	4
5-Dec-2017			Biology, Medicine and Health	Research IT newsletter (researchitnews.org)	SQL	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Data analysis using R	Stratify by experience perhaps, some were much faster than others and we went at the pace of the slowest.	Some examples of other libraries that are available and how best to find help about how to use them e.g. stats test, machine learning			4
5-Dec-2017			Humanities	A University email list	Stata	None	None	Data analysis using R	David did a fantastic job, but I think it would be nice if there is a microphone he could use for us to follow easier. It was hard to follow when there was a question from the audience or when someone close to you asks a question to another member of the staff.	More summary statistics	It would be wonderful if there were enough time to cover all notes, but given the time constraint it was all ok.	Very useful hands on intro to R. It would be nice if there are more workshops like this, and follow-up courses that builds on this course and targets novice users.	5
5-Dec-2017			Biology, Medicine and Health	A University email list	None	None	None	Data analysis using R	create our data ,simple one to understand how to name each col etc.	the first hour			3
5-Dec-2017			Science and Engineering	StaffNet Learning and Development page	MATLAB, C/C++, Python, Mathematica	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	The size of this class may be too big, so it is not easy to hear the instructor depending on one's location in the room and depending on  the ambiant noise. I would recommend to either split the class in 2, use a microphone, have 2 instructors teaching at the same time (when possible)	plot part 	use of statistical methods, use of R for paper editing/presentations or report writing...		4
5-Dec-2017			Humanities	Training Catalogue	None	None	None	Data analysis using R	Less information and a slow pace. I didn't have time to digest information while I was trying to take attention/write and run scripts to the instructor.	the last part related to the graphs	In this lesson was already too much but maybe offer other course - R and statistics	I think the course is really useful, lots of things have been covered but in a crazy pace! Too much!!!	3
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	Better time management (didn't finish course in alloted time)	None	Not clear how tidyverse links in with rest of R. If I'm using bioconductor what's transferrable and what isn't (eg. pipes etc)?	I ended up working from the notes myself instead of with the group/instructor as the class was going so slowly. Would have been better for me to have just had the link to the notes and worked through in my own time than setting aside a whole day to come to the course.	3
5-Dec-2017			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	give more exercises to complete after the course. A more explanatory course introduction before the curse (online)	create graphs		great course but maybe to much information to cover in a day 	4
5-Dec-2017			Biology, Medicine and Health	Research IT newsletter (researchitnews.org)	None	None	None	Data analysis using R	Go a bit slowly	spend more time on commands	This was just right	No	3
5-Dec-2017			Humanities	StaffNet Learning and Development page	MATLAB, Fortran, C/C++, R, Stata, Mathematica	None	None	Data analysis using R	I think he could be a bit clearer and slower at bits, otherwise he is good	Since we have not finished everything, I will go over the uncovered portions myself	Since this is on 'data analysis', I will appreciate more coverage on basic regression analysis and hypothesis testings, other than summary statistics.	I really wish this course should be split in an intro course where we covers basic commands, and an advanced course that focused on data analysis, with the intro course as a prerequisite. I think the crowd here is very diverse, which means everyone has a different expectation and background, and it is hard to move forward. This is evident from the fact that we have not finished all the courses.	4
5-Dec-2017			Humanities	A University email list	Stata	None	None	Data analysis using R	I think initial Topics (introduction, etc) should be done more slowly as it is hard to adjust to a new programme like this at first. I think slitting the material into two courses (beginner and intermediate) would be a good way to ensure there is more time.	The basics of opening data, saving, etc. I found it hard to remember this.	Regression analysis.	I thought the instructor was really good and very good communicator, but to go slower. Obviously this would mean covering less material - so I suggest splitting the course into two.	4
8-Dec-2017			PSS	Word of mouth	Python	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	Cut anything that won't be built upon later in the course.	Factors.	Nothing in particular, but would be good to have spent more time with graphs at the end. Understand it was timing issue.	I loved how easy R was to pick up, and how easy it is to use it with graphs, especially adding points, lines, colour etc. Microphone might be useful as the course was fully booked and everyone turned up.	4
7-Feb-2018			Science and Engineering	A University email list	MATLAB, Fortran, C/C++, Python, Bash	Git, Subversion	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Data analysis using R	I attended in the morning. The course notes are great, and have pretty much everything I needed to do the exercises and learn about the R language. If anything the instructor could maybe have given short presentation(s) on the concepts used in R and then allowed attendees to work through the examples themselves	Nothing			4
7-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, Stata	None	None	Data analysis using R	can not name anything	Packages			5
7-Feb-2018			Science and Engineering	StaffNet Learning and Development page	Python, R	None	None	Data analysis using R	Possibly gone a little quicker	Like the exercises when they were a challenge		Had to leave at lunch unfortunately, hoping to do the rest online	4
7-Feb-2018			Humanities	A University email list	None	None	None	Data analysis using R	I found it very fast paced and difficult to keep up. Perhaps a distinction needs to be made between absolute beginners and people who are more well versed in software and statistics.	Tibbles			3
7-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	Data analysis using R	to spend a little more time on sections	the initial programming as I was a novice!	not a good idea to add anything else its data heavy	the graph section was excellently explained, when I needed more help the guys were very good at helping me out which was invaluable for me.	3
7-Feb-2018			Biology, Medicine and Health	Word of mouth	None	None	None	Data analysis using R	-	Model fitting	More on using R for statistic	-	5
7-Feb-2018			Biology, Medicine and Health	Supervisor	R, Stata, SPSS	None	None	Data visualisation and analysis	Using microphone to let his voice loudly.	Combining my code with text, creating my own R notebook.	N/A	N/A	5
7-Feb-2018			PSS	StaffNet Learning and Development page	Bash	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Data analysis using R	The instructors were excellent and I have no suggestions	Again, it was excellent and I have no suggestions	There wouldn't have been time for other topics - it was just right.		5
7-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, C/C++, Python, Lua	None	Comments	Data analysis using R	Nothing - very good!	Fitting models	Perhaps different fits other than linear	Very well structured and clear course, thank you 	5
7-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB	None	None	Data analysis using R	Made it longer :)	The final bits could go into more detail (but time was restricted)	Not sure		4
7-Feb-2018			Biology, Medicine and Health	A University email list	Stata	None	Comments	Data analysis using R	I really enjoyed this course, but it was super quick - I think you could split into two or more longer sessions. I do think perhaps the name is a bit misjudged - it should be intro to R, or best practices for R, not data analysis. 	I think all of it needs more practising - I only ever learn by doing!	I think its a great intro.	I sat 2 R modules at MSc level and they never made sense to me. I've learned more today than I did then, for sure. I think the yellow/red post-it notes were particularly helpful to avoid feeling stupid but to make sure we got help!!	5
7-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Stata	Git	None	Data analysis using R	At some points it was a bit too fast	Model fitting	cleaning and formatting data tips		4
7-Feb-2018			Science and Engineering	Looked in the training catalogue	None	None	None	Data analysis using R	It was overall very informative.	R notebooks; it was a bit rushed, but I do understand a day is not enough to complete everything	Examples for bioinformatics packages		5
7-Feb-2018			Biology, Medicine and Health	Training and development eprog	Stata	Absolutely no idea	Don't know what any of that means...	Data analysis using R	A whole other day on actual data analysis e.g. univariable and multivariable analyses techniques	Regression techniques in R	Univariable and multivariable analyses, model assumption checks, multiple imputation and running analyses in imputed data`	"Course leader was v good, sticky notes very helpful and course pitched at the right level. Facilitators were really helpful and enough of them. 

Should be a multiple day course with  day1 sumamrising data and day2 analyses. Plus would like a more advanced course to cover how to complete imputation, bootstrapping etc in R for people with knowledge of the stats but just not how to run them. 

Also FOOD. Never been to a course that didn't provide coffee + snacks in breaks plus lunch.

Needed more frequent breaks. Expecting people to concentrate from 9.30 to 11am is unreasonable."	5
7-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python, R	None	None	Data analysis using R	N/A	I thought that, for my research, the most helpful section was the ggplot2 section (thus more time spent on it would always be good), but the section that I would go over again because of its complexity would be the 'Manipulating tibbles with dplyr'.	N/A	The teaching and help from the Staff was excellent, though the course was fast I was mostly able to keep up. The Yellow/Red card idea if you were stuck was a good one. Thank you very much!	5
7-Feb-2018			PSS	StaffNet Learning and Development page	None	None	None	Data analysis using R	use a bigger pointer on the screen so it's easier to follow where he's clicking on stuff	notebooks			4
11-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	None	None	None	Data analysis using R	In some of the bits, he was going over things very fast and didn't allow people to write as he was just faster.	The data visualization part and some of the explanations to what different functions mean. We were constantly in a hurry and some of the explanations seemed to be basic knowledge to the instructor, but I was seeing these things for the first time and wasn't able to catch up. And when you are tying to catch up/ask help, the rest of the course goes on and you miss some of the other important bits. 	What other functions you could use for narrowing down your data, what these mean in different settings etc.	Usually feedback should be anonymised. 	4
12-Feb-2018			Humanities	Word of mouth	Stata	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Code reviews	Data analysis using R	If any chances, a pre survey to have an idea why people are taking the course could help making it more relevant	graphs	expand on linear models and data analysis		4
13-Feb-2018			Biology, Medicine and Health	Word of mouth	MATLAB, Python, R, Bash	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	Survey the audience - determine who is from what dept, who has used system before or not etc	None			5
13-Feb-2018			Biology, Medicine and Health	Supervisor	Python, R, Bash, Perl	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	Talk faster and skip through some of hardware introduction at the beginning.	Nothing.	How to set up x2go to access csf from home.	Great introduction, perfect for novice users of CSF.	5
13-Feb-2018			Biology, Medicine and Health	Supervisor	Python, R	Git	None	Introduction to HPC (using CSF and DPSF)	NA	try the examples		it was a good workshop to get started 	5
13-Feb-2018			Humanities	Supervisor	Python, R	Git	None	Introduction to HPC (using CSF and DPSF)	mic	material	more details about modules	none	5
13-Feb-2018			Biology, Medicine and Health	EProg training	R, Bash, Perl	None	None	Introduction to HPC (using CSF and DPSF)	Split class into different groups depending on knowledge of linux etc	Nothing - all clear	Nothing - all clear	Was well organised - signage was very useful! Long day though.	5
13-Feb-2018			Science and Engineering	Supervisor	None	None	None	Introduction to HPC (using CSF and DPSF)	More practical sessions	parallel computing			5
13-Feb-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	Fortran, Bash	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	I thought it was a very well taught course	how to make one job run dependent on another.		Well taught, very useful	5
13-Feb-2018			Biology, Medicine and Health	search on the site	Stata	None	None	Introduction to HPC (using CSF and DPSF)	demonstration of exercise and do it slower please.	practicing	none	thank you for such as useful course!!!	4
13-Feb-2018			Science and Engineering	Sign up to CSF	None	None	None	Introduction to HPC (using CSF and DPSF)	-	-			4
13-Feb-2018			Biology, Medicine and Health	Supervisor	R, Stata	None	None	Introduction to HPC (using CSF and DPSF)	None	application loading 			4
13-Feb-2018			Science and Engineering	StaffNet Learning and Development page	C/C++	Git	None	Introduction to HPC (using CSF and DPSF)	I don't have any suggestions	HOw to set up a job array. COnfused by how to do it in different circumstances			4
13-Feb-2018			PSS	StaffNet Learning and Development page	Bash	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	The room was a little bit cold in the morning session - that's all I can think of.	Nothing springs to mind	None	The course was excellent: Informative, interesting and very well presented	5
13-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, C/C++, Python, R	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), deep learning / oop	Introduction to HPC (using CSF and DPSF)	All good.	Bash scripting for job arrays	GPU usage examples	Great!	5
14-Feb-2018			Biology, Medicine and Health	StaffNet Learning and Development page	R	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	Have more examples for us to try outside of the course	parallel code to analyze many datasets from the master file		The course is well structured and George made an excellent job at covering the most relevant stuff.	5
14-Feb-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	Explain the very basics before starting the programming 	Analysing data from multiple files		The course was a bit confusing in places, think the class is too big as more individual contact time is needed 	3
14-Feb-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	Was not suitable for students who had never used coding before. Too fast and needed more of the basics. 	The basics	how this is applicable to other kinds of data		2
14-Feb-2018			Science and Engineering	Word of mouth	R	None	None	Programming in Python	slower pace might be better, even if the course would cover less	Multiple file data analysis			3
14-Feb-2018			Science and Engineering	A University email list	MATLAB, Python	None	None	Introduction to Python	Slower pace for the lesson	Loops	Functions	N/A	4
14-Feb-2018			Science and Engineering	A University email list	R	None	None	Programming in Python	Slower pace, and a more engaging explanation of why we are writing what we are writing in jupyter.	Understanding the loop concept.			3
14-Feb-2018			Science and Engineering	DTP coordinator	None	None	None	Introduction to Python	Go through the material MUCH more slowly, the course was very hard to follow and when you get stuck you end up 3 steps behind by the time you have sorted it out and end up very confused. An actual introduction to what Python is before diving into coding would have been very useful.	"Coding language - this is not explained in the course and it is very hard to understand what is going on/ complete any of the exercises without this, e.g. explaining what each function did.

When we were asked to try and solve the problems I had no idea where to start as I have no previous knowledge of coding language."	Coding language, an explanation of what functions actually do.	"Most of the course I spent trying to keep up with typing the code - I understood very little of what I was doing and stopping to ask for an explanation or help only meant falling further behind. This didn't feel like an introduction as it requires some understanding of coding language and how to use Python.

A slower course, perhaps over more than one day would have been more beneficial as this set up meant I learned very little as I was constantly left behind by the fast pace and lack of introduction."	2
14-Feb-2018			Science and Engineering	A University email list	None, Python	None	None	Introduction to Python	"He could start by explaining what he was talking about from the beginning. He went straight into the course without explaining what any of the functions were or what they meant. The majority of the time I just followed along with the episodes/lessons written on the computer. The majority of the lessons were ""put this into the script"" ""this is the answer"". There was no explanation to what the data we were using was about or what it meant when the answers were given.  The entire material was totally rushed through and no one knew what was going on. It would help if the material was already loaded onto the computers as when we logged off the data wouldn't be read properly.  This meant wasting time trying to sort it out and then being lost in the lesson. "	What each function did and why you would use it.	Start from the basics and what they do. What each function did and why you would use it.	A more logical way of explaining Python and how it is used and how to use it would be much better.  Especially for people who have never used a coding software before.	2
14-Feb-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	explain functions in more detail, independently of the software. It is easy to get lost when not familiar coding	setting up loop functions	more in depth graphing		3
14-Feb-2018			Science and Engineering	Julie DTP	R	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Introduce other methods of using python (e.g. console) - a number of people I know do not use Jupyter, so some background on others would have been nice	Loops			4
14-Feb-2018			Science and Engineering	A University email list	MATLAB	None	None	Introduction to Python	spent longer on the basics rather than going straight into using data	for loops	gone over loading of data from non .csv sources		4
14-Feb-2018			Science and Engineering	A University email list	Python, Igor	None	None	Introduction to Python	The instructor should provide the background regarding data type which will going to be analyzed in that python class before starting the course.	Function and Loop commands	data type and how does it look like		3
14-Feb-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	This may be more effective over 2 days as some things felt a bit rushed and more time could be dedicated to the more difficult sections. 	Analysing data from multiple files			4
14-Feb-2018			Science and Engineering	Supervisor	MATLAB, Bash, IGOR	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Brief pauses, to offer a chance to catch up or ask questions. 	Mathematical functions on strings/matrices of data. 	Adding legends, labels, customization etc. to graphs. 	Nope :)	4
14-Feb-2018			Science and Engineering	NERC DTP	None	None	None	Introduction to Python	Spoken more clearly and directed us to the online notes straight away	Episode 6, I'm not sure if new notepads are able to find files referred to in old notepads... I don't think so. It is assumed that the class is familiar with other coding platforms like matlab but I've never done any programming before and feel like I'm just asking stupid and basic questions.	More focus on the basics, I've just had to learn through my mistakes	I would have appreciated this feedback form being anonymous. The online notes are very well written and I will return to them later, also the post-it note system works well.	3
14-Feb-2018			Science and Engineering	A University email list	MATLAB	None	None	Introduction to Python	Set up the session in a more coherent way before starting any programming	Lists			4
14-Feb-2018			Science and Engineering	A University email list	R	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Explain the structure and content of the example data	Data import and a broader sense of which packages are so widely used they are basically part of the language (cf. tidyverse in R)	Where to find out more information (e.g. how to find the help pages for a function), how to manipulate and rearrange data	Personally I'm less interested in graphing functions since this is something I do in R. I'd have liked more of a sense of what kinds of tasks python is best suited for	3
14-Feb-2018			Science and Engineering	A University email list	MATLAB, Python, Bash	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	"Maybe the use of an ""easier"" dataset might help. Something like patient's height/weight instead of inflammation data. Also it is in my opinion extremely important to teach how to read error messages from the beginning."	functions (+classes?)	commenting, how to handle/import different types of data. how to use python without jupyter notebook, how to find information about classes/methods/etc from Python documentation, how to call functions from different notebooks/scripts	The colored post-its are a good idea	3
14-Feb-2018			Science and Engineering	NERC course	MATLAB	Subversion	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Speak a little slower	The course material and redo the exercise at home			4
14-Feb-2018			Science and Engineering	A University email list	MATLAB	None	None	Introduction to Python	Explain the syntax and why we are typing certain commands more	if statements	Im not sure		3
